,,,,,,,,,,,,
,,,,,,,,,,,,
,,Ball Price,,,,,,,,,,
,,,,,,,,,,,,
,,Low,,,,Medium,,,,High,,
,Batch,1,2,3,,1,2,3,,1,2,3
,#,1,2,3,,4,5,6,,7,8,9
,Low Driver Price,245,248,247,,246,236,247,,192,245,242
,,247,258,232,,212,240,234,,249,249,227
,,241,249,240,,226,248,238,,253,220,235
,#,10,11,12,,13,14,15,,16,17,18
,Medium Driver Price,259,254,249,,264,244,220,,221,228,282
,,248,243,244,,265,255,231,,249,264,260
,,231,241,237,,249,244,258,,253,250,275
,#,19,20,21,,22,23,24,,25,26,27
,High Driver Price,251,244,259,,264,256,230,,241,260,261
,,240,252,276,,287,256,224,,255,266,255
,,255,255,277,,275,265,252,,254,264,275
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,TAKE PHOTOS,,,,,,,,,